,Name,Authors,Date of Publication,Link
0,Reward is enough,"Silver, David, Singh, Satinder, Precup, Doina, Sutton, Richard S. ",October 2021,https://www.sciencedirect.com/science/article/pii/S0004370221000862
1,Making sense of raw input,"Evans, Richard, Bošnjak, Matko and 5 more",October 2021,https://www.sciencedirect.com/science/article/pii/S0004370221000722
2,Law and logic: A review from an argumentation perspective,"Prakken, Henry, Sartor, Giovanni ",October 2015,https://www.sciencedirect.com/science/article/pii/S0004370215000910
3,Creativity and artificial intelligence,"Boden, Margaret A. ",August 1998,https://www.sciencedirect.com/science/article/pii/S0004370298000551
4,Artificial cognition for social human–robot interaction: An implementation,"Lemaignan, Séverin, Warnier, Mathieu and 3 more",June 2017,https://www.sciencedirect.com/science/article/pii/S0004370216300790
5,Explanation in artificial intelligence: Insights from the social sciences,"Miller, Tim ",February 2019,https://www.sciencedirect.com/science/article/pii/S0004370218305988
6,Making sense of sensory input,"Evans, Richard, Hernández-Orallo, José and 3 more",April 2021,https://www.sciencedirect.com/science/article/pii/S0004370220301855
7,Conflict-based search for optimal multi-agent pathfinding,"Sharon, Guni, Stern, Roni, Felner, Ariel, Sturtevant, Nathan R. ",February 2015,https://www.sciencedirect.com/science/article/pii/S0004370214001386
8,Between MDPs and semi-MDPs: A framework for temporal abstraction in reinforcement learning,"Sutton, Richard S., Precup, Doina, Singh, Satinder ",August 1999,https://www.sciencedirect.com/science/article/pii/S0004370299000521
9,The Hanabi challenge: A new frontier for AI research,"Bard, Nolan, Foerster, Jakob N. and 13 more",March 2020,https://www.sciencedirect.com/science/article/pii/S0004370219300116
10,Evaluating XAI: A comparison of rule-based and example-based explanations,"van der Waa, Jasper, Nieuwburg, Elisabeth, Cremers, Anita, Neerincx, Mark ",February 2021,https://www.sciencedirect.com/science/article/pii/S0004370220301533
11,Argumentation in artificial intelligence,"Bench-Capon, T.J.M., Dunne, Paul E. ",October 2007,https://www.sciencedirect.com/science/article/pii/S0004370207000793
12,Algorithms for computing strategies in two-player simultaneous move games,"Bošanský, Branislav, Lisý, Viliam and 3 more",August 2016,https://www.sciencedirect.com/science/article/pii/S0004370216300285
13,Multiple object tracking: A literature review,"Luo, Wenhan, Xing, Junliang and 4 more",April 2021,https://www.sciencedirect.com/science/article/pii/S0004370220301958
14,Selection of relevant features and examples in machine learning,"Blum, Avrim L., Langley, Pat ",December 1997,https://www.sciencedirect.com/science/article/pii/S0004370297000635
15,"A survey of inverse reinforcement learning: Challenges, methods and progress","Arora, Saurabh, Doshi, Prashant ",August 2021,https://www.sciencedirect.com/science/article/pii/S0004370221000515
16,Explaining individual predictions when features are dependent: More accurate approximations to Shapley values,"Aas, Kjersti, Jullum, Martin, Løland, Anders ",September 2021,https://www.sciencedirect.com/science/article/pii/S0004370221000539
17,A review of possible effects of cognitive biases on interpretation of rule-based machine learning models,"Kliegr, Tomáš, Bahník, Štěpán, Fürnkranz, Johannes ",June 2021,https://www.sciencedirect.com/science/article/pii/S0004370221000096
18,Integrating social power into the decision-making of cognitive agents,"Pereira, Gonçalo, Prada, Rui, Santos, Pedro A. ",December 2016,https://www.sciencedirect.com/science/article/pii/S0004370216300868
19,“That's (not) the output I expected!” On the role of end user expectations in creating explanations of AI systems,"Riveiro, Maria, Thill, Serge ",September 2021,https://www.sciencedirect.com/science/article/pii/S0004370221000588
20,Explaining black-box classifiers using post-hoc explanations-by-example: The effect of explanations and error-rates in XAI user studies,"Kenny, Eoin M., Ford, Courtney, Quinn, Molly, Keane, Mark T. ",May 2021,https://www.sciencedirect.com/science/article/pii/S0004370221000102
21,Algorithm runtime prediction: Methods & evaluation,"Hutter, Frank, Xu, Lin, Hoos, Holger H., Leyton-Brown, Kevin ",January 2014,https://www.sciencedirect.com/science/article/pii/S0004370213001082
22,Wrappers for feature subset selection,"Kohavi, Ron, John, George H. ",December 1997,https://www.sciencedirect.com/science/article/pii/S000437029700043X
23,Commonsense visual sensemaking for autonomous driving – On generalised neurosymbolic online abduction integrating vision and semantics,"Suchan, Jakob, Bhatt, Mehul, Varadarajan, Srikrishna ",October 2021,https://www.sciencedirect.com/science/article/pii/S0004370221000734
24,"Quantum computation, quantum theory and AI","Ying, Mingsheng ",February 2010,https://www.sciencedirect.com/science/article/pii/S0004370209001398
