,Player,Team,Rating,Career Best Rating
0,Babar Azam,PAK,887,"898 v West Indies, 10/06/2022"
1,Rassie van der Dussen,SA,777,"796 v England, 19/07/2022"
2,Imam-ul-Haq,PAK,740,"815 v West Indies, 12/06/2022"
3,Quinton de Kock,SA,740,"813 v Sri Lanka, 10/03/2019"
4,Shubman Gill,IND,733,"735 v Australia, 17/03/2023"
5,David Warner,AUS,732,"880 v Pakistan, 26/01/2017"
6,Steve Smith,AUS,714,"752 v Pakistan, 22/01/2017"
7,Virat Kohli,IND,714,"911 v England, 12/07/2018"
8,Rohit Sharma,IND,704,"885 v Sri Lanka, 06/07/2019"
9,Kane Williamson,NZ,700,"799 v India, 09/07/2019"
