,Name,Rating,Year
0,The Shawshank Redemption,9.3,1994
1,The Godfather,9.2,1972
2,The Dark Knight,9,2008
3,Schindler's List,9,1993
4,The Godfather Part II,9,1974
5,12 Angry Men,9,1957
6,The Lord of the Rings: The Return of the King,9,2003
7,Pulp Fiction,8.9,1994
8,Fight Club,8.8,1999
9,Inception,8.8,2010
10,The Lord of the Rings: The Fellowship of the Ring,8.8,2001
11,Forrest Gump,8.8,1994
12,The Lord of the Rings: The Two Towers,8.8,2002
13,"Il buono, il brutto, il cattivo",8.8,1966
14,GoodFellas,8.7,1990
15,The Matrix,8.7,1999
16,One Flew Over the Cuckoo's Nest,8.7,1975
17,The Empire Strikes Back,8.7,1980
18,Interstellar,8.6,2014
19,The Silence of the Lambs,8.6,1991
20,Se7en,8.6,1995
21,Star Wars,8.6,1977
22,Saving Private Ryan,8.6,1998
23,The Green Mile,8.6,1999
24,Terminator 2: Judgment Day,8.6,1991
25,Sen to Chihiro no kamikakushi,8.6,2001
26,Cidade de Deus,8.6,2002
27,La vita è bella,8.6,1997
28,Shichinin no samurai,8.6,1954
29,It's a Wonderful Life,8.6,1946
30,Seppuku,8.6,1962
31,Gisaengchung,8.5,2019
32,The Departed,8.5,2006
33,Gladiator,8.5,2000
34,Whiplash,8.5,2014
35,The Prestige,8.5,2006
36,Léon,8.5,1994
37,Alien,8.5,1979
38,Rear Window,8.5,1954
39,Back to the Future,8.5,1985
40,Apocalypse Now,8.5,1979
41,The Lion King,8.5,1994
42,Psycho,8.5,1960
43,The Usual Suspects,8.5,1995
44,The Pianist,8.5,2002
45,American History X,8.5,1998
46,The Intouchables,8.5,2011
47,Casablanca,8.5,1942
48,Once Upon a Time in the West,8.5,1968
49,Hotaru no haka,8.5,1988
50,Nuovo Cinema Paradiso,8.5,1988
51,Modern Times,8.5,1936
52,City Lights,8.5,1931
53,Avengers: Endgame,8.4,2019
54,Joker,8.4,I) (
55,Django Unchained,8.4,2012
56,Raiders of the Lost Ark,8.4,1981
57,American Beauty,8.4,1999
58,Avengers: Infinity War,8.4,2018
59,The Dark Knight Rises,8.4,2012
60,The Shining,8.4,1980
61,Braveheart,8.4,1995
62,Oldeuboi,8.4,2003
63,Spider-Man: Into the Spider-Verse,8.4,2018
64,Memento,8.4,2000
65,Idi i smotri,8.4,1985
66,Witness for the Prosecution,8.4,1957
67,Aliens,8.4,1986
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
69,Kimi no na wa.,8.4,2016
70,Coco,8.4,I) (
71,Amadeus,8.4,1984
72,3 Idiots,8.4,2009
73,WALL·E,8.4,2008
74,The Lives of Others,8.4,2006
75,Capharnaüm,8.4,2018
76,Sunset Blvd.,8.4,1950
77,Das Boot,8.4,1981
78,The Great Dictator,8.4,1940
79,Paths of Glory,8.4,1957
80,Tengoku to jigoku,8.4,1963
81,Good Will Hunting,8.3,1997
82,Inglourious Basterds,8.3,2009
83,Requiem for a Dream,8.3,2000
84,Vertigo,8.3,1958
85,Eternal Sunshine of the Spotless Mind,8.3,2004
86,2001: A Space Odyssey,8.3,1968
87,Reservoir Dogs,8.3,1992
88,Jagten,8.3,2012
89,Star Wars: Episode VI - Return of the Jedi,8.3,1983
90,Toy Story,8.3,1995
91,Once Upon a Time in America,8.3,1984
92,Lawrence of Arabia,8.3,1962
93,Mononoke-hime,8.3,1997
94,Citizen Kane,8.3,1941
95,Toy Story 3,8.3,2010
96,Singin' in the Rain,8.3,1952
97,Ikiru,8.3,1952
98,North by Northwest,8.3,1959
99,M - Eine Stadt sucht einen Mörder,8.3,1931
